,avg_unemployment,survey_year,Outcome,number_of_internships,primary_major,Gender,primary_college,Outcome_binary,Total Unique Fairs Attended,total_apps,Educations Cumulative Gpa,ipp_flag,Internship_binary,binary_cont_education,binary_still_looking,fairs_above_avg,apps_above_avg,Appointment_Count,appointment_binary
5956,4.0,2024,Working,1,Foreign Affairs,Male,College and Graduate School of Arts & Sciences,1,0,0,,0,1,0,0,0,0,0.0,0
5957,4.0,2024,Continuing Education,2,Applied Statistics,Female,College and Graduate School of Arts & Sciences,0,3,29,,0,1,1,0,1,0,7.0,1
5958,4.0,2024,Working,2,Applied Statistics,Female,College and Graduate School of Arts & Sciences,1,0,50,,0,1,0,0,0,1,1.0,1
5959,4.0,2024,Working,0,Economics,Female,College and Graduate School of Arts & Sciences,1,0,0,,0,0,0,0,0,0,0.0,0
5960,4.0,2024,Continuing Education,1,Architecture,Male,School of Architecture,0,0,13,,0,1,1,0,0,0,1.0,1
5961,4.0,2024,Working,0,Linguistics,Female,College and Graduate School of Arts & Sciences,1,0,0,,0,0,0,0,0,0,0.0,0
5962,4.0,2024,Fellowship,2,Computer Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,0,1,42,,0,1,0,0,0,0,0.0,0
5963,4.0,2024,Still Looking,1,Engineering - Systems Engineering,Male,School of Engineering & Applied Science,0,3,2,,0,1,0,1,1,0,0.0,0
5964,4.0,2024,Working,0,Education - Elementary Education,Female,School of Education and Human Development,1,1,0,4.0,0,0,0,0,0,0,0.0,0
5965,4.0,2024,Working,0,Education - Elementary Education,Female,School of Education and Human Development,1,1,0,4.3,0,0,0,0,0,0,0.0,0
5966,4.0,2024,Working,0,Education - Elementary Education,Female,School of Education and Human Development,1,1,0,,0,0,0,0,0,0,0.0,0
5967,4.0,2024,Still Looking,0,Education - Kinesiology,Female,School of Education and Human Development,0,0,0,4.0,0,0,0,1,0,0,0.0,0
5968,4.0,2024,Still Looking,3,Environmental Sciences,Female,College and Graduate School of Arts & Sciences,0,19,686,3.5,1,1,0,1,1,1,0.0,0
5969,4.0,2024,Working,3,Environmental Thought & Practice - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,0,16,3.52,0,1,0,0,0,0,0.0,0
